28 de Noviembre,-51.65003986,-72.30001612,Argentina
Gobernador Gregores,-48.76659829,-70.25001205,Argentina
Comondante Luis Piedrabuena,-49.97454865,-68.90347273,Argentina
Paso Rio Mayo,-45.68337563,-70.26657434,Argentina
Alto Rio Sanguer,-45.03328611,-70.83328394,Argentina
El Maiten,-42.05000568,-71.16662276,Argentina
Puerto Madryn,-42.77001341,-65.04001998,Argentina
Trelew,-43.25003579,-65.3299506,Argentina
Las Heras,-32.82503904,-68.80167668,Argentina
San Martin,-33.06998533,-68.49001612,Argentina
Uspallata,-32.59311522,-69.34598454,Argentina
Cutral Co,-38.94001463,-69.24002202,Argentina
Punta Alta,-38.87996662,-62.0799681,Argentina
San Nicolas,-33.33002114,-60.24000289,Argentina
Campana,-34.15999632,-58.95997766,Argentina
Chacabuco,-34.65004393,-60.48998763,Argentina
Mercedes,-34.66001748,-59.44002588,Argentina
Lincoln,-34.88000405,-61.53994938,Argentina
Chivilcoy,-34.89995115,-60.03998926,Argentina
Veinticinco de Mayo,-35.42999632,-60.17998071,Argentina
Nueve de Julio,-35.44596434,-60.88998906,Argentina
Dolores,-36.33004474,-57.68997766,Argentina
Pedro Luro,-39.48334064,-62.68331629,Argentina
Tres Arroyos,-38.3699719,-60.26994938,Argentina
Coronel Suarez,-37.46661619,-61.9166189,Argentina
Balcarce,-37.83331216,-58.24999516,Argentina
25 de Mayo,-37.80003253,-67.68329533,Argentina
General Roca,-39.01995807,-67.60996647,Argentina
Comallo,-41.03332355,-70.26657434,Argentina
Ingeniero Jacobacci,-41.30002562,-69.58330855,Argentina
General Conesa,-40.10004718,-64.43328699,Argentina
Choele Choel,-39.26660968,-65.68331405,Argentina
San Francisco,-31.43003375,-62.08996749,Argentina
Alta Gracia,-31.65999388,-64.4299797,Argentina
Villa Maria,-32.41002562,-63.26002527,Argentina
Bell Ville,-32.60003986,-62.67995732,Argentina
Villa Rumipal,-32.18332111,-64.48328394,Argentina
Villa Carlos Paz,-31.42000853,-64.50000126,Argentina
Chumbicha,-28.86662433,-66.23330632,Argentina
Tinogasta,-28.06662148,-67.56658411,Argentina
Abra Pampa,-22.7166638,-65.6999797,Argentina
Humahuaca,-23.19999347,-65.34994938,Argentina
Susques,-23.41667275,-66.4833169,Argentina
Chepes,-31.34998696,-66.5999506,Argentina
Yacuiba,-22.03003904,-63.69999841,Argentina
Tartagal,-22.55000731,-63.81001754,Argentina
Joaquin V. Gonzalez,-25.08334105,-64.18335392,Argentina
General Guemes,-24.6666223,-65.04996769,Argentina
Trancas,-26.21665688,-65.28331262,Argentina
Presidencia Roque Saenz Pena,-26.7900069,-60.45001591,Argentina
Pampa del Infierno,-26.51658689,-61.16658716,Argentina
Villa Angela,-27.58329181,-60.7166663,Argentina
Ingeniero Guillermo N. Juarez,-23.90000242,-61.84998214,Argentina
Comandante Fontana,-25.33329995,-59.68331852,Argentina
Doctor Pedro P. Pena,-22.47998574,-62.29998051,Argentina
San Lorenzo,-28.12000324,-58.76998926,Argentina
Corrientes,-27.48996417,-58.80998682,Argentina
Concepcion del Uruguay,-32.47999551,-58.23999577,Argentina
Victoria,-32.61001341,-60.17998071,Argentina
Gualeguay,-33.15003213,-59.34000615,Argentina
Parana,-31.73332273,-60.53334416,Argentina
Villa Constitucion,-33.23002724,-60.35002202,Argentina
Rafaela,-31.25004474,-61.49997766,Argentina
Eldorado,-26.20001707,-54.59998539,Argentina
Rodeo,-30.21558592,-69.1399506,Argentina
Las Plumas,-43.41627887,-67.24998845,Argentina
Gastre,-42.28296303,-69.23330408,Argentina
Telsen,-42.39959674,-66.95000676,Argentina
Malargue,-35.46611815,-69.58330855,Argentina
Tunuyan,-33.56618244,-69.01667647,Argentina
La Paz,-33.46613686,-67.54999597,Argentina
Chos Malal,-37.38295205,-70.26657434,Argentina
Las Lajas,-38.51626788,-70.36659408,Argentina
Zarate,-34.08956134,-59.04002446,Argentina
Carhue,-37.1828609,-62.73331323,Argentina
Darregueira,-37.69957355,-63.16659428,Argentina
Juarez,-37.66551878,-59.80002975,Argentina
Mar de Ajo,-36.71622272,-56.67660283,Argentina
Lobos,-35.184895,-59.09467228,Argentina
Chascomus,-35.56621539,-58.01662439,Argentina
Junin,-34.58456989,-60.95887374,Argentina
La Plata,-34.90961465,-57.95996118,Argentina
Pergamino,-33.89959878,-60.56998275,Argentina
Lujan,-34.57960895,-59.10999435,Argentina
Azul,-36.7796297,-59.86999964,Argentina
Villalonga,-39.88285114,-62.58332239,Argentina
Victorica,-36.21625324,-65.45002079,Argentina
General Pico,-35.65959471,-63.77001998,Argentina
San Antonio Oeste,-40.73287677,-64.93328231,Argentina
Sierra Colorado,-40.58286009,-67.79998071,Argentina
Mercedes,-33.68958576,-65.4699679,Argentina
Rio Tercero,-32.1796004,-64.12002446,Argentina
Belen,-27.64959267,-67.03328333,Argentina
Rinconada,-22.43290851,-66.16659204,Argentina
San Pedro,-24.21962116,-64.87000452,Argentina
Libertador General San Martin,-23.81954222,-64.78998356,Argentina
Chilecito,-29.16552081,-67.49999903,Argentina
Chamical,-30.34958291,-66.3166604,Argentina
Los Blancos,-23.59960732,-62.60003972,Argentina
Cafayate,-26.08291828,-65.96660425,Argentina
Cerrillos,-24.89963133,-65.48330042,Argentina
